# generlized Kondo-Heisenberg model
# Jh/U=0.25 n=1/2 L=36 Delta/t=2.0
# Local density of states at Fermi level
# U/W, site/L, LDOS
1.9 3.4000000000000002E-002 1.94788
1.9 3.5999999999999997E-002 1.65217
1.9 3.7999999999999999E-002 1.69672
1.9 4.0000000000000001E-002 1.72203
1.9 4.2000000000000003E-002 2.00333
1.9 4.3999999999999997E-002 1.6258
1.9 4.5999999999999999E-002 2.0864
1.9 4.8000000000000001E-002 2.03329
1.9 5.0000000000000003E-002 1.35433
      
2 -0.14999999999999999 0.854148
2 -0.14799999999999999 2.04563
2 -0.14599999999999999 1.01736
2 -0.14399999999999999 1.12048
2 -0.14199999999999999 1.86078
2 -0.14000000000000001 2.96484
2 -0.13800000000000001 2.26271
2 -0.13600000000000001 1.86568
2 -0.13400000000000001 2.29125
2 -0.13200000000000001 1.22972
2 -0.13000000000000000 1.80113
2 -0.12800000000000000 1.52362
2 -0.12600000000000000 1.70673
2 -0.12400000000000000 1.13924
2 -0.12200000000000000 0.853026
2 -0.12000000000000000 0.772235
2 -0.11799999999999999 0.482684
2 -0.11600000000000001 0.709021
2 -0.11400000000000000 0.403577
2 -0.11200000000000000 0.582245
2 -0.11000000000000000 0.847307
2 -0.10800000000000000 0.604925
2 -0.10600000000000000 0.764684
2 -0.10400000000000000 0.553573
2 -0.10199999999999999 0.871228
2 -0.10000000000000001 0.930475
2 -9.8000000000000004E-002 0.433927
2 -9.6000000000000002E-002 0.51075
2 -9.4000000000000000E-002 0.483422
2 -9.1999999999999998E-002 0.53305
2 -8.9999999999999997E-002 0.417562
2 -8.7999999999999995E-002 0.800715
2 -8.5999999999999993E-002 0.604429
2 -8.4000000000000005E-002 0.391683
2 -8.2000000000000003E-002 0.439734
2 -8.0000000000000002E-002 0.552051
2 -7.8000000000000000E-002 0.515908
2 -7.5999999999999998E-002 0.49363
2 -7.3999999999999996E-002 0.605425
2 -7.1999999999999995E-002 0.576755
2 -7.0000000000000007E-002 0.937274
2 -6.8000000000000005E-002 0.765
2 -6.6000000000000003E-002 0.909561
2 -6.4000000000000001E-002 1.2038
2 -6.2000000000000000E-002 1.40637
2 -5.9999999999999998E-002 1.02857
2 -5.8000000000000003E-002 1.27202
2 -5.6000000000000001E-002 0.950497
2 -5.3999999999999999E-002 0.833393
2 -5.1999999999999998E-002 0.675919
2 -5.0000000000000003E-002 0.926136
2 -4.8000000000000001E-002 0.810887
2 -4.5999999999999999E-002 0.614235
2 -4.3999999999999997E-002 0.762403
2 -4.2000000000000003E-002 0.797256
2 -4.0000000000000001E-002 0.848015
2 -3.7999999999999999E-002 0.752382
2 -3.5999999999999997E-002 0.829544
2 -3.4000000000000002E-002 0.896929
2 -3.2000000000000001E-002 1.0104
2 -2.9999999999999999E-002 1.13348
2 -2.8000000000000001E-002 1.38828
2 -2.5999999999999999E-002 1.53407
2 -2.4000000000000000E-002 1.72873
2 -2.1999999999999999E-002 1.94449
2 -2.0000000000000000E-002 2.35599
2 -1.7999999999999999E-002 2.8369
2 -1.6000000000000000E-002 3.72384
2 -1.4000000000000000E-002 4.91242
2 -1.2000000000000000E-002 6.44216
2 -1.0000000000000000E-002 8.1886
2 -8.0000000000000002E-003 10.7479
2 -6.0000000000000001E-003 15.0828
2 -4.0000000000000001E-003 21.1044
2 -2.0000000000000000E-003 29.1497
2 0.0000000000000000 35.6491
2 2.0000000000000000E-003 31.9802
2 4.0000000000000001E-003 22.8488
2 6.0000000000000001E-003 15.8194
2 8.0000000000000002E-003 10.9179
2 1.0000000000000000E-002 8.2285
2 1.2000000000000000E-002 6.49832
2 1.4000000000000000E-002 5.7219
2 1.6000000000000000E-002 4.5773
2 1.7999999999999999E-002 3.52542
2 2.0000000000000000E-002 2.86814
2 2.1999999999999999E-002 2.38396
2 2.4000000000000000E-002 2.12995
2 2.5999999999999999E-002 1.93814
2 2.8000000000000001E-002 2.19022
2 2.9999999999999999E-002 2.179
2 3.2000000000000001E-002 2.01331
2 3.4000000000000002E-002 1.65276
2 3.5999999999999997E-002 1.69105
2 3.7999999999999999E-002 1.17562
2 4.0000000000000001E-002 1.21573
2 4.2000000000000003E-002 1.26455
2 4.3999999999999997E-002 1.33683
2 4.5999999999999999E-002 1.25981
2 4.8000000000000001E-002 1.86176
2 5.0000000000000003E-002 1.62405
2 5.1999999999999998E-002 2.09536
2 5.3999999999999999E-002 1.44762
2 5.6000000000000001E-002 1.53927
2 5.8000000000000003E-002 1.57032
2 5.9999999999999998E-002 1.36362
2 6.2000000000000000E-002 1.90293
2 6.4000000000000001E-002 1.69387
2 6.6000000000000003E-002 2.06731
2 6.8000000000000005E-002 1.75714
2 7.0000000000000007E-002 1.05174
2 7.1999999999999995E-002 1.1151
2 7.3999999999999996E-002 0.824811
2 7.5999999999999998E-002 0.704104
2 7.8000000000000000E-002 0.674017
2 8.0000000000000002E-002 0.623619
2 8.2000000000000003E-002 0.589112
2 8.4000000000000005E-002 0.817763
2 8.5999999999999993E-002 1.30824
2 8.7999999999999995E-002 0.771911
2 8.9999999999999997E-002 0.493377
2 9.1999999999999998E-002 1.16655
2 9.4000000000000000E-002 1.19576
2 9.6000000000000002E-002 1.32207
2 9.8000000000000004E-002 1.13661
2 0.10000000000000001 0.721939
2 0.10199999999999999 0.740346
2 0.10400000000000000 1.25378
2 0.10600000000000000 0.566104
2 0.10800000000000000 0.56002
2 0.11000000000000000 0.842305
2 0.11200000000000000 0.663688
2 0.11400000000000000 0.648925
2 0.11600000000000001 0.527218
2 0.11799999999999999 0.611107
2 0.12000000000000000 0.590364
2 0.12200000000000000 1.04518
2 0.12400000000000000 0.714947
2 0.12600000000000000 1.22123
2 0.12800000000000000 0.92429
2 0.13000000000000000 0.74911
2 0.13200000000000001 0.916659
2 0.13400000000000001 1.14098
2 0.13600000000000001 1.32011
2 0.13800000000000001 1.40432
2 0.14000000000000001 3.03633
2 0.14199999999999999 3.70871
2 0.14399999999999999 3.1556
2 0.14599999999999999 4.9364
2 0.14799999999999999 4.4506
2 0.14999999999999999 2.06507
      
2.1 -5.0000000000000003E-002 0.539722
2.1 -4.8000000000000001E-002 0.55862
2.1 -4.5999999999999999E-002 0.674726
2.1 -4.3999999999999997E-002 0.615096
2.1 -4.2000000000000003E-002 0.642022
2.1 -4.0000000000000001E-002 0.617296
2.1 -3.7999999999999999E-002 0.67882
2.1 -3.5999999999999997E-002 0.741003
2.1 -3.4000000000000002E-002 0.880278
2.1 -3.2000000000000001E-002 0.975571
2.1 -2.9999999999999999E-002 1.18785
2.1 -2.8000000000000001E-002 1.33594
2.1 -2.5999999999999999E-002 1.52582
2.1 -2.4000000000000000E-002 1.57828
2.1 -2.1999999999999999E-002 1.79465
2.1 -2.0000000000000000E-002 2.10137
2.1 -1.7999999999999999E-002 2.64
2.1 -1.6000000000000000E-002 3.45824
2.1 -1.4000000000000000E-002 4.55578
2.1 -1.2000000000000000E-002 6.01579
2.1 -1.0000000000000000E-002 7.87485
2.1 -8.0000000000000002E-003 10.4168
2.1 -6.0000000000000001E-003 14.5708
2.1 -4.0000000000000001E-003 20.9091
2.1 -2.0000000000000000E-003 29.7389
2.1 0.0000000000000000 36.1868
2.1 2.0000000000000000E-003 30.7428
2.1 4.0000000000000001E-003 21.2439
2.1 6.0000000000000001E-003 14.5248
2.1 8.0000000000000002E-003 10.3256
2.1 1.0000000000000000E-002 7.60383
2.1 1.2000000000000000E-002 5.6543
2.1 1.4000000000000000E-002 4.99635
2.1 1.6000000000000000E-002 4.18675
2.1 1.7999999999999999E-002 3.32414
2.1 2.0000000000000000E-002 2.65197
2.1 2.1999999999999999E-002 2.16119
2.1 2.4000000000000000E-002 1.83466
2.1 2.5999999999999999E-002 1.59707
2.1 2.8000000000000001E-002 1.68344
2.1 2.9999999999999999E-002 1.91992
2.1 3.2000000000000001E-002 1.80556
2.1 3.4000000000000002E-002 1.53525
2.1 3.5999999999999997E-002 1.23253
2.1 3.7999999999999999E-002 1.11393
2.1 4.0000000000000001E-002 0.944033
2.1 4.2000000000000003E-002 0.895003
2.1 4.3999999999999997E-002 0.984062
2.1 4.5999999999999999E-002 1.09253
2.1 4.8000000000000001E-002 1.33641
2.1 5.0000000000000003E-002 1.62499
      
2.2 -5.0000000000000003E-002 1.31654
2.2 -4.8000000000000001E-002 0.939737
2.2 -4.5999999999999999E-002 0.915874
2.2 -4.3999999999999997E-002 0.793185
2.2 -4.2000000000000003E-002 0.817921
2.2 -4.0000000000000001E-002 0.883228
2.2 -3.7999999999999999E-002 0.943179
2.2 -3.5999999999999997E-002 1.06618
2.2 -3.4000000000000002E-002 1.30099
2.2 -3.2000000000000001E-002 1.58127
2.2 -2.9999999999999999E-002 1.88597
2.2 -2.8000000000000001E-002 1.89654
2.2 -2.5999999999999999E-002 1.9365
2.2 -2.4000000000000000E-002 2.14103
2.2 -2.1999999999999999E-002 2.39586
2.2 -2.0000000000000000E-002 2.9345
2.2 -1.7999999999999999E-002 3.79967
2.2 -1.6000000000000000E-002 4.67378
2.2 -1.4000000000000000E-002 6.09131
2.2 -1.2000000000000000E-002 7.88926
2.2 -1.0000000000000000E-002 10.1188
2.2 -8.0000000000000002E-003 13.6225
2.2 -6.0000000000000001E-003 20.3201
2.2 -4.0000000000000001E-003 29.634
2.2 -2.0000000000000000E-003 42.2026
2.2 0.0000000000000000 47.1524
2.2 2.0000000000000000E-003 37.358
2.2 4.0000000000000001E-003 25.8147
2.2 6.0000000000000001E-003 17.6329
2.2 8.0000000000000002E-003 12.5688
2.2 1.0000000000000000E-002 8.99911
2.2 1.2000000000000000E-002 7.11703
2.2 1.4000000000000000E-002 6.20024
2.2 1.6000000000000000E-002 5.35522
2.2 1.7999999999999999E-002 4.10461
2.2 2.0000000000000000E-002 3.58139
2.2 2.1999999999999999E-002 2.52199
2.2 2.4000000000000000E-002 2.21196
2.2 2.5999999999999999E-002 2.13535
2.2 2.8000000000000001E-002 2.14054
2.2 2.9999999999999999E-002 2.3652
2.2 3.2000000000000001E-002 2.16795
2.2 3.4000000000000002E-002 1.92599
2.2 3.5999999999999997E-002 1.53497
2.2 3.7999999999999999E-002 1.29291
2.2 4.0000000000000001E-002 1.19459
2.2 4.2000000000000003E-002 1.04589
2.2 4.3999999999999997E-002 1.02572
2.2 4.5999999999999999E-002 1.12864
2.2 4.8000000000000001E-002 1.64574
2.2 5.0000000000000003E-002 1.84905
