# dynamical charge structure factor of generlized Kondo-Heisenberg model
# t=0.5 U=10 Jh=10 L=200 n=1.66 S=1/2
# k, omega, N(k,omega)

0.02 2.5 0.000170246
0.02 2.55 0.00012896
0.02 2.6 9.31131e-05
0.02 2.65 3.66784e-05
0.02 2.7 0.000176349
0.02 2.75 0.000125312
0.02 2.8 0.000124875
0.02 2.85 5.22544e-05
0.02 2.9 0.000213222
0.02 2.95 7.36851e-05
0.02 3 0.00032243
0.02 3.05 0.000151327
0.02 3.1 0.000168095
0.02 3.15 0.000435496
0.02 3.2 2.24496e-05
0.02 3.25 0.000190536
0.02 3.3 0.000244403
0.02 3.35 8.99692e-05
0.02 3.4 0.000101275
0.02 3.45 0.000136053
0.02 3.5 0.000799365
0.02 3.55 8.60355e-05
0.02 3.6 1.36945e-05
0.02 3.65 8.71194e-05
0.02 3.7 5.54993e-05
0.02 3.75 9.04279e-06
0.02 3.8 0.000501825
0.02 3.85 0.000218127
0.02 3.9 1.48545e-06
0.02 3.95 0.000366646
0.02 4 6.92221e-05
0.02 4.05 2.94932e-05
0.02 4.1 8.40002e-06
0.02 4.15 9.58933e-06
0.02 4.2 1.70854e-05
0.02 4.25 1.22989e-06
0.02 4.3 5.40585e-06
0.02 4.35 6.61206e-06
0.02 4.4 8.16517e-06
0.02 4.45 7.0358e-07
0.02 4.5 1.1002e-05
0.02 4.55 8.97925e-06
0.02 4.6 8.7205e-06
0.02 4.65 9.38451e-06
0.02 4.7 4.57809e-06
0.02 4.75 1.06016e-06
0.02 4.8 1.69157e-06
0.02 4.85 3.98776e-07
0.02 4.9 3.13104e-06
0.02 4.95 5.75993e-06
0.02 5 3.12414e-06
0.025 0 0.000581503
0.025 0.05 0.000990816
0.025 0.1 0.00153877
0.025 0.15 0.00166992
0.025 0.2 0.00119746
0.025 0.25 0.000724432
0.025 0.3 0.000453607
0.025 0.35 0.000292869
0.025 0.4 0.00020791
0.025 0.45 0.000148181
0.025 0.5 0.000116406
0.025 0.55 7.55502e-05
0.025 0.6 6.58862e-05
0.025 0.65 4.89919e-05
0.025 0.7 4.07909e-05
0.025 0.75 4.16757e-05
0.025 0.8 3.51957e-05
0.025 0.85 3.23632e-05
0.025 0.9 2.56682e-05
0.025 0.95 1.46259e-05
0.025 1 2.04636e-05
0.025 1.05 2.13265e-05
0.025 1.1 1.62298e-05
0.025 1.15 2.31092e-05
