# generalized Kondo-Heisenberg model
# U/W=1.3 Jh/U=0.25 n=1.5 L=48
# density-of-states DOS(omega)
# omega-Ef, DOS(omega)

-0.00675 2.805543997331037126e-02
0.01325 2.733463862426158131e-02
0.03325 2.896646827157179499e-02
0.05325 3.341214589108255223e-02
0.07325 4.151461351444130782e-02
0.09325 5.316243577679263810e-02
0.11325 6.690010506814764168e-02
0.13325 8.055999470163655030e-02
0.15325 9.276423001251861422e-02
0.17325 1.027566378897255550e-01
0.19325 1.102510127536246859e-01
0.21325 1.145675543144951958e-01
0.23325 1.165415687673691664e-01
0.25325 1.157304075596141124e-01
0.27325 1.109600159462528629e-01
0.29325 1.039407282732812132e-01
0.31325 9.748354214841412069e-02
0.33325 9.033622183425044083e-02
0.35325 8.133984410009810484e-02
0.37325 7.282165615363404843e-02
0.39325 6.510419835517837484e-02
0.41325 6.017211285790424746e-02
0.43325 5.587154713136011780e-02
0.45325 5.187425978022126155e-02
0.47325 4.876275708675532894e-02
0.49325 4.679654909929747975e-02
0.51325 4.642410461850800946e-02
0.53325 4.709541397746085795e-02
0.55325 4.788418108976842669e-02
0.57325 4.759025101282950143e-02
0.59325 4.670173095829469045e-02
0.61325 4.665972938686933913e-02
0.63325 4.691681328072905971e-02
0.65325 4.672829320337475861e-02
0.67325 4.361143448412740931e-02
0.69325 3.874804281762352087e-02
0.71325 3.326029509866342687e-02
0.73325 2.756911288401760196e-02
0.75325 2.262392653522600494e-02
0.77325 1.871131015579440698e-02
0.79325 1.574869104194362435e-02
0.81325 1.365535048784132129e-02
0.83325 1.209718064994735193e-02
0.85325 1.110306633334876350e-02
0.87325 1.030477708367931802e-02
0.89325 9.735243819966096085e-03
0.91325 9.285395935239490126e-03
0.93325 8.793500947398325690e-03
0.95325 8.337764306576522094e-03
0.97325 7.111746533217868683e-03
0.99325 6.711558262400641427e-03
1.01325 6.349185528872466899e-03
1.03325 6.001101963611830958e-03
1.05325 5.735047619409836851e-03
1.07325 5.428526321173423284e-03
